Number,gene_id,gene_symbol,posColors,negColors,K1,K2,DiffK,ttest,gene,baseMean,log2FoldChange,lfcMLE,lfcSE,stat,pvalue,padj
5,AACS,AACS,grey,turquoise,0.06950565,0.042348166,0.027157485,0.573548632,AACS,106.82293880811,-0.0847864887805299,-0.123443015480723,0.191933011880754,-0.441750420887508,0.658669819129869,0.903067456311447
8,AAK1,AAK1,grey,blue,0.097624898,0.110972425,-0.013347527,1.10926616,AAK1,204.686450421551,-0.05421295526978,-0.0581544195046224,0.104035086801252,-0.521102610058357,0.602295292821112,0.882269321611597
9,AAMDC,AAMDC,grey,grey,0.069388963,0.028414666,0.040974297,1.499128518,AAMDC,79.7366878618125,-0.20190551237566,-0.216692671629568,0.104363135657363,-1.93464398232092,0.0530339988679399,0.316458954618279
12,AARS,AARS,grey,turquoise,0.118044391,0.078314963,0.039729428,-1.569140516,AARS,291.075263592453,0.20767520328556,0.236579323938116,0.135571837655494,1.53184619222533,0.125560394189645,0.487264983406225
13,AARS2,AARS2,green,turquoise,0.088158775,0.167485075,-0.0793263,0.531957794,AARS2,141.705058532428,-0.0632974013848017,-0.0717110868701307,0.133209229419178,-0.47517279141087,0.634663818709916,0.894913245902638
15,AASDH,AASDH,grey,yellow,0.102277221,0.04642554,0.05585168,-0.628772985,AASDH,138.680028847086,0.0722875031536026,0.0971564243451876,0.180665871148551,0.400117092918811,0.689070275147944,0.911835363243511
17,AATBC,AATBC,grey,yellow,0.198875504,0.074091327,0.124784177,1.256301831,AATBC,221.070179753467,-0.196042077899575,-0.240681466042727,0.160837380626758,-1.21888380136278,0.222888298673132,0.628439102309378
18,AATF,AATF,grey,brown,0.187429584,0.298643025,-0.111213441,-1.921144109,AATF,1235.4657810091,0.131468544965481,0.135368364704645,0.0692398906902866,1.89873992657709,0.0575986791841088,0.329914983351988
28,ABCB7,ABCB7,grey,black,0.086893452,0.09184022,-0.004946768,2.773632015,ABCB7,371.674545428761,-0.272503377629741,-0.290019278385717,0.0985850400200447,-2.76414532645455,0.0057072114439661,0.0723989626909447
36,ABCC6P2,ABCC6P2,grey,blue,0.084838691,0.071644828,0.013193862,2.734152756,ABCC6P2,13.1313106896129,-0.447591849830921,-0.602844031535899,0.18089519608823,-2.47431584425609,0.0133491622471876,0.133628434460201
38,ABCD1,ABCD1,green,turquoise,0.105039166,0.122513308,-0.017474143,-3.50615815,ABCD1,473.228047177073,0.28953052170748,0.307059379075398,0.0960491607577323,3.01439928702523,0.00257488684036372,0.0400441946724723
50,ABHD13,ABHD13,grey,brown,0.147884108,0.156185936,-0.008301829,0.872361197,ABHD13,777.646381375117,-0.0966895920432745,-0.104875057255217,0.111024853486371,-0.870882410622987,0.383818361748022,0.766203879989949
51,ABHD14A,ABHD14A,grey,magenta,0.096250932,0.019594888,0.076656044,0.126824422,ABHD14A,84.9376463372967,-0.0249880207365348,-0.0283195536149191,0.13340350891191,-0.187311570290367,0.851416351759248,0.962974565645594
60,ABHD17AP4,ABHD17AP4,grey,turquoise,0.090159834,0.058664856,0.031494978,-0.781561487,ABHD17AP4,34.1399524868343,0.063795368462326,0.0683695347031952,0.103506153735094,0.616343726051298,0.537667685507116,0.856991918711785
63,ABHD17B,ABHD17B,grey,yellow,0.084221295,0.114331793,-0.030110498,-1.277715189,ABHD17B,152.511489529648,0.230229315335572,0.270030695414266,0.146765857206583,1.56868443190781,0.116721487893606,0.471932266386419
64,ABHD18,ABHD18,grey,red,0.093058327,0.046249312,0.046809015,1.072001283,ABHD18,198.578305065456,-0.0666657059895981,-0.072255668522459,0.110587549552738,-0.602831930531254,0.546620502701356,0.862258533106485
