Number,gene_id,gene_symbol,posColors,negColors,K1,K2,DiffK,ttest,gene,baseMean,log2FoldChange,lfcMLE,lfcSE,stat,pvalue,padj
2,A1BG,A1BG,yellow,black,0.141174899,0.091437218,0.049737681,2.910144044,A1BG,86.2043545851651,-0.390515023992809,-0.449956978282439,0.140096797448557,-2.78746574586193,0.00531220700045625,0.0692412981215719
19,AB019441.29,AB019441.29,darkgrey,brown,0.179445255,0.557323051,-0.377877796,3.427770588,AB019441.29,73.0222051128378,-0.31659587113628,-0.337061159727811,0.0988486792545452,-3.20283359903084,0.00136082586509178,0.0244234280692676
28,ABCB7,ABCB7,grey,black,0.086893452,0.09184022,-0.004946768,2.773632015,ABCB7,371.674545428761,-0.272503377629741,-0.290019278385717,0.0985850400200447,-2.76414532645455,0.0057072114439661,0.0723989626909447
34,ABCC6,ABCC6,darkred,blue,0.122205088,0.04388488,0.078320208,3.542041561,ABCC6,83.2301208838206,-0.52668532274549,-0.64188604847095,0.158709075575425,-3.31855831707109,0.000904834264086531,0.0181970285222031
35,ABCC6P1,ABCC6P1,lightgreen,blue,0.140538781,0.066957703,0.073581079,2.77471387,ABCC6P1,20.1897686417242,-0.433297830033329,-0.561733670966072,0.173743901133656,-2.49388799955634,0.0126352406246788,0.128665987904138
36,ABCC6P2,ABCC6P2,grey,blue,0.084838691,0.071644828,0.013193862,2.734152756,ABCC6P2,13.1313106896129,-0.447591849830921,-0.602844031535899,0.18089519608823,-2.47431584425609,0.0133491622471876,0.133628434460201
38,ABCD1,ABCD1,green,turquoise,0.105039166,0.122513308,-0.017474143,-3.50615815,ABCD1,473.228047177073,0.28953052170748,0.307059379075398,0.0960491607577323,3.01439928702523,0.00257488684036372,0.0400441946724723
42,ABCF1,ABCF1,turquoise,turquoise,0.431216568,0.126003043,0.305213525,-2.313414307,ABCF1,481.302055807272,0.192804917039152,0.199962125914457,0.0768989456524587,2.50725046232136,0.0121674460501293,0.125931557010147
44,ABCF3,ABCF3,blue,pink,0.468306999,0.184149522,0.284157477,-2.149802372,ABCF3,516.388704030147,0.255150289437996,0.275635112230215,0.108575206823727,2.3499866765369,0.0187740830682422,0.167036477128068
46,ABHD10,ABHD10,turquoise,red,0.198498381,0.039860184,0.158638197,-2.731731435,ABHD10,392.028445807184,0.340436414029454,0.365360875046083,0.104365590276932,3.2619603178223,0.00110644630917073,0.0210922648791185
52,ABHD14B,ABHD14B,darkolivegreen,grey,0.13936209,0.020301423,0.119060667,2.225040428,ABHD14B,356.653958837086,-0.234468211721799,-0.248326524429723,0.0950080748354386,-2.46787667393447,0.0135917137539871,0.135253853514206
73,ABI3,ABI3,yellow,yellow,0.250286347,0.087517482,0.162768865,-3.677312653,ABI3,1098.78330298082,0.409279827930668,0.44340802918203,0.110362380013889,3.7085085323383,0.000208483636595743,0.00566136229323466
75,ABR,ABR,blue,turquoise,0.301327597,0.198818803,0.102508793,-1.968277483,ABR,789.007332898859,0.205952992161969,0.216342920295797,0.0885157544639381,2.32673825590986,0.0199792004204996,0.1736109269873
78,ABTB1,ABTB1,grey,turquoise,0.137964367,0.089152896,0.048811471,2.988936191,ABTB1,1846.97788881564,-0.265093532651333,-0.276149269233865,0.0811386317250507,-3.2671678954316,0.00108629236050099,0.020803147087464
83,AC000089.3,AC000089.3,magenta,brown,0.182369851,0.191290955,-0.008921104,3.635049003,AC000089.3,81.3880328584453,-0.283292367781055,-0.295611064286094,0.0826942589425786,-3.42578035529368,0.000613035905028886,0.0137176650207912
98,AC003075.4,AC003075.4,brown,grey,0.171868791,0.02193325,0.149935541,2.935829446,AC003075.4,16.8885812561088,-0.402925147328357,-0.492613822053301,0.159579416510653,-2.52491929184024,0.0115724863018082,0.121399326362402
102,AC004076.7,AC004076.7,turquoise,grey,0.268417221,0.024072857,0.244344364,3.166545509,AC004076.7,10.1514478264281,-0.636771022779186,-1.06959134544274,0.202722457721806,-3.14109758699267,0.00168315938376652,0.0285170546639685
105,AC004453.8,AC004453.8,violet,brown,0.14343276,0.479573562,-0.336140802,2.433226809,AC004453.8,106.969618509964,-0.215858879945191,-0.227163040824194,0.090000833000862,-2.39840980075289,0.0164664314341088,0.153170128259741
109,AC004692.5,AC004692.5,magenta,brown,0.077999117,0.048164537,0.02983458,2.577827591,AC004692.5,28.6950296934348,-0.225851127056254,-0.238802193898751,0.0937721780367725,-2.40850891794032,0.0160178349466581,0.150068260472846
123,AC005019.2,AC005019.2,magenta,brown,0.093049586,0.163395791,-0.070346205,2.348949214,AC005019.2,13.8220937714554,-0.290724621501132,-0.327484343942504,0.130530865890367,-2.22724808816723,0.0259306978533093,0.207532197254765
