"","MEdarkred","MEpink","MElightgreen","MEsteelblue","MEwhite","MEyellow","MEdarkolivegreen","MEsaddlebrown","MEpaleturquoise","MEred","MEdarkmagenta","MEskyblue","MEskyblue3","MEtan","MEgreenyellow","MEyellowgreen","MEbrown","MEdarkgreen","MEdarkorange","MEgreen","MEmidnightblue","MElightcyan","MEcyan","MEsienna3","MEblack","MEsalmon","MEdarkturquoise","MEturquoise","MEblue","MElightyellow","MEorangered4","MEgrey60","MEorange","MEviolet","MEdarkgrey","MEmagenta","MEplum1","MEpurple","MEroyalblue","MEgrey"
"SLE05",0.177710277630537,-0.0774929971468752,-0.00618243991607143,0.251255953777212,-0.106886580937763,-0.0650057466728723,-0.0670668853012272,-0.0188010349199896,0.0160396637118236,-0.00447817243288076,0.144200641692171,0.439394669614706,0.169010050412982,-0.0573725257106301,-0.0834636895871488,-0.133160043015926,-0.0370419189186041,-0.0878107623669836,-0.0496970390521361,-0.192954157702448,-0.143334635431848,-0.175946763601316,-0.0719542088490523,-0.11463905590007,-0.0097418840829313,-0.154132316130486,-0.109354067879894,-0.0746956834278115,-0.122299966617376,-0.208731347590952,-0.00510049469750344,-0.0616867200487737,-0.04084462559362,-0.117395336025561,-0.125897997855244,0.0920040406819387,-0.0646909607623898,-0.0442459724426228,-0.130160256729521,-0.064089288965097
"SLE06",-0.210748447567552,-0.019689246573907,-0.077467930985816,0.172446314508223,-0.0488731152839708,0.46802887284779,0.118392542543309,0.291918209755642,0.098214150760589,0.105453751697052,0.122062832681664,0.215429427991205,0.845684652556776,-0.0808514344721083,-0.103804441429236,-0.201108010338587,-0.0958301156154964,-0.135279856202758,-0.0539341144450142,0.0571894494273599,-0.0899747601793576,-0.360802538691868,-0.0609537182216961,-0.14893920104259,0.0606498991398014,-0.0675734391283028,-0.14851690008407,-0.0930065101302303,-0.0418610508113529,-0.15844551622733,-0.0403851521498814,-0.0736794057000206,-0.111793098470314,-0.185710267702564,-0.209491077456861,-0.137995312229482,0.137344374190046,-0.0830662543171543,-0.192985354957294,-0.0871040437746597
"SLE10",-0.0030207060312068,-0.0672535219319132,0.0157092792856357,0.148056354589399,-0.0942878671269316,0.123560015164984,0.132759568086005,0.267105431420852,0.0310824134136139,0.0973611881639792,0.139771080156932,0.407651315357406,-0.0225268644794782,-0.082295029692318,-0.0760043631674942,-0.219398078941817,-0.0880909711562582,-0.1476537039223,-0.0913914636742184,0.117593563008641,-0.0683042605759466,-0.290444747063508,-0.102288572577117,-0.170067540843402,0.0241146395132558,-0.113481563491681,-0.0498005324923173,-0.0812026618079047,-0.0878496415952407,-0.11253487397703,-0.0320689650088426,0.456014888294438,-0.101072304532067,0.0623488848155977,-0.0247498349933698,0.122657688765354,-0.170168398575538,-0.0451767890667832,-0.212502326213117,-0.116657112160284
"SLE11",-0.217982673246424,0.0128130567430356,0.204790596359704,-0.103185491176694,0.928400389732349,0.280591641656759,0.235114511719094,0.461189853638287,0.51945510820784,0.554437022590547,-0.0628518094432624,0.0277858363632718,-0.0563280642641524,0.00304990746334829,0.0196754754802443,0.163546682411594,0.0182313970638542,0.054526773603554,-0.000446086937811266,0.244033491218055,0.0864740347983664,-0.125586671905382,0.000185667303430407,-0.0547233416330429,-0.347450937565822,-0.156905156435801,-0.0121955663186123,0.0111872180580711,0.42317607408108,0.043556937680257,-0.0509295161465492,-0.0556895912020933,-0.0578640058498307,-0.378311108893811,-0.366213778785754,-0.320306701400252,-0.1350055287484,-0.00227970269403395,-0.00870094892493859,0.30936086243912
"SLE23",0.0646781307640589,0.0279708430067267,0.0783847335317431,-0.0522802466465415,0.0210581524561965,0.0800655385820521,0.198918745458755,0.150330514146044,0.161356888303862,0.291851185372465,0.0638637275277408,0.21761252644222,0.0315378382646454,0.0469245718202062,0.0341924440291657,-0.117857037894472,0.0101427250342496,0.0143471601728193,0.0433237624218332,0.181877356964177,0.00709291644775043,-0.134416184475113,-0.0106552498737463,-0.108273425316849,0.0545270906760428,-0.140645542182982,-0.0508349454752342,0.0127445750954972,0.184860937987261,-0.0949084878244772,-0.0528761690196542,-0.00950407161199238,0.00526976846540589,-0.262678362679648,-0.201569330336518,-0.192138933220954,-0.0890470190508136,0.00448644639104249,-0.0116308744280516,0.332726020148831
"SLE29",-0.096606742137185,-0.00483969972795748,-0.033272915600972,0.0124509723780174,-0.0884806737124641,0.0604604945792912,0.336463664920524,0.18875808284932,0.0336011251102193,0.120433982041269,-0.175155022170334,0.0178027774358081,0.00530561175477983,-0.041607877308919,-0.00481650986882509,-0.248489686563597,-0.054528982008226,-0.0434050109177815,0.953907397932743,0.271485872594817,0.430722329637865,-0.169595482734946,-0.0568812330642953,-0.104544483410464,0.140491155118764,-0.0474194611339671,-0.0432576758573698,-0.0236301271813988,0.103109287174336,0.223057910386502,0.00475900745168054,0.17356307439986,-0.0618841982980792,-0.455802477893313,-0.325466370055602,-0.597518041875526,-0.0531020232829755,-0.0179315100085956,-0.13148420758333,-0.0424315364620337
"SLE39",0.0492110791117224,-0.014222127254007,-0.0907157312782775,-0.0122015605012152,0.0695780192516683,-0.0605739981937421,0.169882272583868,0.223244140267494,-0.0278285128126008,0.0439022766020357,0.140368697751095,0.342229661715534,-0.0550397815442452,0.0480934838207094,0.00955607407437221,-0.0502820805950121,0.0358667566546952,-0.0194469543376419,-0.0566536945464951,0.178249433174874,0.0112625641044699,0.0384563384192864,-0.00872643036930281,-0.0213877279794867,0.266841005692249,0.361409382619917,0.0230735783728583,0.0391187285255301,0.164393524599591,0.249874280692622,-0.0327536671509926,-0.0225577829852198,-0.0387031498636915,0.183117958441707,0.255767875340739,0.00481584833393272,-0.0686404946407338,0.0185587110784906,-0.079455521098882,0.230258803527639
"SLE42",-0.1599835586566,-0.109662155524376,-0.219094444372937,-0.0749292305695686,-0.0431939449575435,-0.106387856474411,-0.248419562893481,-0.218940762382972,-0.272452611100288,-0.28765591168448,-0.269626008865828,-0.0710779268357024,-0.123846869195024,-0.0668200693354226,-0.073308017042341,-0.0813714182380411,-0.0476246811934063,-0.120334412247439,-0.055309644623174,-0.162258690743509,-0.188495533357682,0.0551400571485441,-0.0218916177317899,-0.0462048091095651,0.0776381174528115,0.287125224483344,-0.0930195601029569,-0.0595326997946,-0.142961782080209,0.0416467697126787,-0.067423187826991,-0.164921878132955,-0.0768717614857641,0.0568632034943913,0.169505095342467,0.0105418866678365,-0.108415866248679,-0.0808813040429773,-0.0984257043125705,-0.144643197680856
"SLE44",-0.0139412067042213,-0.0674852715305306,-0.0508178742726588,0.0761643946001355,-0.0162688365881986,-0.172435215721566,-0.148495066725875,-0.19869108996337,-0.0931329501732891,-0.088858394771894,-0.111593765729533,0.14947843612397,-0.068974022332114,0.0287972032199342,-0.0270417602153323,-0.0569096636194973,-0.00118764094711826,-0.00340049478055032,-0.000290009235498796,-0.0347067233308825,-0.00536867824519071,0.0321103791876364,-0.0211345993220956,0.00488918556564659,-0.19052143925442,-0.101553665129764,-0.030337336942882,-0.0250410968242188,-0.00704371929173117,0.0894129765979888,0.934626449213396,-0.0916857284069046,0.00684364422714856,-0.0970014115883962,-0.0163420616498589,0.0176190688686042,-0.10961532869818,-0.0436858350039983,-0.0241355547656518,0.0758832297771189
"SLE50",-0.0944960415579773,-0.0702557504824643,-0.138270113542173,-0.0739337942155598,-0.0288684701972455,-0.0177257729820116,-0.0199471764942034,-0.139482664750661,-0.0747556181200614,-0.0315242571967915,0.18375784693844,-0.099549446680735,-0.0273606461637246,-0.0173291807129125,-0.0394021338723724,-0.0963417535524127,-0.0801544665690955,-0.111153114362055,0.00883046470842705,-0.230505749597203,0.0559049877333303,-0.0471028791394086,-0.0651883566278092,-0.0819487406875546,0.112569206685228,0.337528180894777,-0.0950679518022704,-0.0204297668147741,0.0254648249197182,-0.194603750633417,-0.0391230439386563,0.519175488891212,0.0271134450403663,-0.056384149374522,0.0581370348188365,0.270919553387668,-0.106285222080296,-0.0304523415940241,-0.175626982726222,0.0461715436475811
