"","MEdarkred","MEblack","MEbrown","MEpurple","MEroyalblue","MEmidnightblue","MEgreen","MEtan","MEdarkgreen","MEyellow","MEgrey60","MEblue","MEturquoise","MEred","MEpink","MEsalmon","MEcyan","MElightcyan","MEgreenyellow","MEdarkgrey","MEdarkturquoise","MElightgreen","MElightyellow","MEmagenta","MEgrey"
"SLE01",-0.109804963623892,0.0229843202616796,-0.0699190284046253,-0.0585552573179013,-0.0801855710303791,0.0218517440874612,-0.320834972893898,-0.0679149326572261,0.168341796600655,0.0655282123149078,-0.104977403079817,0.107733459935135,-0.0190248359511912,0.075989688427284,-0.0437880810664998,-0.0699882823070499,-0.0268675393111859,-0.15014131364439,0.219722768029717,-0.0553830293575994,-0.0153484681942771,-0.0990947018895081,0.0116604741891807,-0.0862076862316949,-0.15616169929603
"SLE02",-0.111904941436119,-0.0478800505780931,-0.11347936522684,-0.0297716469031734,-0.0588803356646139,0.00128848692133221,-0.0641406390966499,0.00323668270612365,0.174745013897699,0.0424289367090684,0.0276307655818174,0.186733401865311,-0.0295894692903743,0.0229303553126194,-0.000212601230421661,-0.0825802767007696,0.0209758279669564,-0.0482023531832574,0.304377138310086,0.0101161021542342,0.200978917863932,-0.0710460655100525,0.153649476046616,-0.038589375756645,-0.00930711289028929
"SLE03",-0.0466227830593912,-0.112239260990626,-0.115913382256527,-0.076284076224379,-0.0180277490118497,-0.0874650543987968,-0.0225646489008675,0.0691716183340881,-0.108485967232935,-0.189215321165625,-0.0422679383002593,0.040984421866225,-0.0634690135583682,-0.310871139686093,-0.0801803739262721,-0.10058656987657,-0.0790041559924062,-0.0708180417518074,-0.0633157685370298,0.0123734376191572,0.042716279034152,-0.0303398724973263,0.242527465149732,0.0379289896506212,0.0649332535707317
"SLE04",0.0397843208603763,-0.0321413657738444,-0.153876285365709,-0.0476194635613105,0.022930547067577,-0.0546920791047159,0.0522828587405134,0.00774783025296568,0.14140735185778,0.132471247240978,0.125750816123965,0.151885656491552,0.0748858530095321,-0.0617277819511637,0.0247064736003311,-0.0751321231921183,-0.152755384320447,-0.0305825150990347,0.0160428222166538,-0.00446015490853061,-0.0284841947282582,-0.19028593003161,-0.0124298212385845,-0.0160341043971374,0.0694970468399457
"SLE07",-0.106661341548609,-0.0997805738498595,-0.088667942872354,-0.0344832448915915,-0.0628681802140227,-0.107963290835573,-0.0956079477835652,-0.0173801050379034,-0.0879097511388726,-0.0799306017408622,0.0267211949181577,0.0427518454078498,-0.0138936049094369,0.0754406114988231,-0.0788478792180706,-0.132593129446514,-0.0582489378192161,-0.0616968086942225,-0.0805560290929986,0.12839397954255,0.0205259736991947,-0.103909242914645,0.0349032482177108,-0.0320063648082961,-0.0203842853044733
"SLE08",0.0126676962898269,-0.0217693159275184,-0.0826782364888781,-0.0576116154154723,-0.0783469756050861,0.0436900933615177,-0.068991742035406,-0.0309551440939799,-0.0237822841381865,-0.158466080323024,-0.166454985449667,0.0272925761218065,-0.0512540673938929,0.0949124876332143,-0.0655680363297518,-0.0967635560063309,-0.0634165192840004,-0.0542918138029846,0.255869327177664,-0.114782102218905,0.0386214847708554,-0.0317512812574737,0.156244345372582,0.00202981759114452,-0.00172226642207332
"SLE12",-0.22205408796688,-0.122699291332214,-0.113723808076648,-0.0562672705718404,0.0201666031806792,-0.165400765845047,-0.194700086740205,-0.0727927154655214,0.112975894659741,0.0322603232316693,-0.0466603238475155,0.0509815362886858,-0.0645903994285442,-0.20571995005863,-0.0925152765774179,-0.0026973449043691,-0.134563866703679,-0.0791239043873138,-0.0524472507826796,0.288720718552421,0.112823660990847,-0.0832386316342085,-0.0146207258348949,-0.0326795358543228,-0.127495947720014
"SLE13",-0.0698275651858953,-0.0291554174594252,-0.00726699833396088,-0.0587633554675495,-0.0683696495148822,0.0167691410777666,-0.202736696215243,-0.0871008674465276,0.128632457019993,0.210838343657144,0.0595881431518837,0.109612604449031,0.0100596093594914,-0.0668821460459419,-0.00425293124964595,-0.0726771714813527,0.0253989717783676,-0.106159282173863,-0.0586097099967507,0.0748682082319563,0.159281780044826,-0.163406400111048,-0.0361667197283353,-0.100121710175246,-0.106633986768675
"SLE14",0.12811580682014,-0.100825808032137,-0.0720028448965261,-0.0684534023295362,-0.0430938952294193,-0.198095081493257,-0.247170658806996,-0.112997527206196,0.217696294388609,-0.149965358095064,-0.214447529558763,0.0324702576834374,-0.143964755131696,-0.0174243686074784,-0.118366776433585,-0.16110246291879,-0.0213013822474561,-0.125083013008384,0.728993549450947,-0.0367822634763778,0.134549945325833,0.0814205771952312,0.126599650115135,0.143283031128762,-0.0742755081522351
"SLE15",0.0789716907682175,-0.0457245605167773,-0.0944553818456171,-0.0537633291122153,-0.0747568404750903,0.0583036151713502,-0.112279865983007,-0.0538342215757905,0.00527879399889571,-0.135746478898525,-0.0950422297515545,0.0470008283234171,-0.0556676945079623,0.0855342967991155,-0.0763696950067056,0.246317147568468,-0.0778114983703,-0.00947962529185942,0.0501103355469716,0.193950589901964,0.0842597647480409,0.147737664606633,0.191860151852733,0.182859249531875,0.014549940847115
