"","Age","Ethnicity","Flare","Severity","SLEDAI","Years_of_disease","disease_status","Affected_Renal","BILAG_severity","Steroid","Quinie","MMF","MTX","Azathrioprine","other_IS"
"MEdarkred",0.103796270837231,0.244102257813683,0.359411885427646,0.718682618446414,0.720985651844955,0.684309492038116,0.992526875297665,0.447580255959204,0.710167687018853,0.417199508577223,0.86518143153393,0.773440079098486,0.503657660421179,0.766918048786246,0.039896594061229
"MEblack",0.240472452749257,0.684127297447118,0.0542911440527917,0.297486042282203,0.217638301936772,0.902210407739015,0.9974984019024,0.748436100791505,0.866093475321302,0.220000293837473,0.139927068887017,0.493839582658922,0.760640520532878,0.386650552960193,0.595902192417114
"MEbrown",0.44712477387015,0.931323319014358,0.520415321097911,0.00856256607281988,0.0123169224735185,0.876905346112794,0.342731568168396,0.381262096524705,0.222826571932489,0.46135202779302,0.420954376414025,0.182021751096372,0.486392229217058,0.326470766123759,0.636246787090018
"MEpurple",0.480311464213441,0.0218866913022127,0.689059690583662,0.00166394846938685,0.0504382004880534,0.175122411154515,0.578836277298218,0.646342504349665,0.948769921548484,0.683321384137861,0.343373000333181,0.916231773145989,0.830207846890994,0.819035142834504,0.691757079260509
"MEroyalblue",0.122897909775676,0.040637406119978,0.701341276690301,0.680913296650489,0.38154383252087,0.80094472761489,0.440369017313848,0.768805478220192,0.025871805759825,0.162726180970594,0.465603826596041,0.0965913563406621,0.953153733646092,0.878570337614752,0.92225385976006
"MEmidnightblue",0.389408654333921,0.724964916462111,0.0847204824881851,0.736590898099115,0.428815679375756,0.872387169709342,0.62248043052131,0.290293386190302,0.669551555170376,0.4159927029888,0.594510906022822,0.467205722635497,0.982668263240392,0.221413447733276,0.420782343426102
"MEgreen",0.278316971789205,0.942909185815709,0.0134675038639407,0.184634125913135,0.0817439990830462,0.12429068930183,0.00619052546139329,0.209005525885383,0.12927655957971,0.62284168093363,0.524104154326012,0.295595550046356,0.980575709844445,0.162461750017233,0.948845176227499
"MEtan",0.803131910394113,0.636194126190411,9.49252821536358e-05,0.50459141335619,0.582498446035944,0.913641923108947,0.298177526013461,0.652345273189298,0.554633454707045,0.599903238685445,0.107764356267148,0.672300691933977,0.618524303385063,0.469484951494946,0.958436902482509
"MEdarkgreen",0.221964362077939,0.997011401704465,0.0167427968474662,0.0343980197395066,0.00185399084792847,0.540722407080043,0.0152959366707508,0.282352436522656,0.16949563994271,0.956276197056845,0.910659064100213,0.32906810662112,0.985204768674742,0.986786211927178,0.938000293193501
"MEyellow",0.468603438220177,0.859707907560819,0.0184661807811434,0.554327878944166,0.120522108814178,0.0545584866141606,0.174456521778142,0.258553220363579,0.34405529150138,0.82044534707942,0.187808886105977,0.504292928217752,0.540073411826286,0.86189242772197,0.495453349519194
"MEgrey60",0.461534801861577,0.475763699125533,0.530339142211099,0.730333293643382,0.459483912333571,0.178573448069448,0.940117047715064,0.574223452437824,0.487006874390887,0.883971512140103,0.740321102868033,0.919403584828563,0.979725622750315,0.837097264026228,0.885803079278029
"MEblue",0.248667632681118,0.661792403882939,0.553647219745626,0.0176741240761109,0.00562152137491866,0.698517386449045,0.149609500317302,0.589185836515618,0.228037874853326,0.539345068932153,0.357078197619668,0.232459701223474,0.624202768397202,0.777035418836707,0.896840066727845
"MEturquoise",0.975523166526674,0.0650925897301353,0.189920570162199,0.0969952899168831,0.0395882073797646,0.202853806531557,0.18143188373619,0.53435719343177,0.0670829432631004,0.421190301137253,0.306432120655283,0.871573480170439,0.370076825513413,0.116121740845908,0.921044405896841
"MEred",0.35896114772063,0.859969558970071,0.898822850516679,0.093270242886208,0.0934811035317867,0.598776486461735,0.331143012282151,0.48407287342655,0.837342428459945,0.860069747609169,0.696618493330162,0.571998804954038,0.307239362987987,0.30672200302183,0.524731902771901
"MEpink",0.122566760136517,0.755090005584698,0.605866059157057,0.602390906271104,0.248187881460639,0.191342771313464,0.31162860843706,0.557845407707878,0.433405366834408,0.590908187740927,0.261554309184708,0.45825789683653,0.986095318458856,0.643494269764817,0.657508399649505
"MEsalmon",0.121873921038115,0.242650646312423,0.642913171170185,0.498700703533264,0.349127160224022,0.665565584991607,0.665500694821117,0.508036277366323,0.765007087018007,0.218286744801332,0.920682392183063,0.378790898316229,0.790781687598833,0.712462859243973,0.772481080865449
"MEcyan",0.49384750793322,0.889975222253817,0.56779866664254,0.630214435913744,0.925107147870048,0.936777929484734,0.956293702296373,0.114429572944596,0.534849589866174,0.84267386246973,0.185323446667272,0.450476639659998,0.846176918475864,0.306795896062065,0.889926010127485
"MElightcyan",0.771299368375345,0.0564625935383095,0.976833253096593,0.9314408262583,0.271404042666793,0.0844015601570088,0.101566051380329,0.552172941302561,0.28627882946989,0.458860732575059,0.627830955036499,0.485955202388417,0.951329742658743,0.766615136236941,0.77987615788989
"MEgreenyellow",0.417229433554571,0.348144016591898,0.688714798810427,0.0746244934846359,0.0204110560772298,0.511342236270832,0.0727855461980202,0.435850001824152,0.960812431556451,0.285774508102958,0.696827032400662,0.00364878991047398,0.596626969300749,0.344504823011317,0.776718441890602
"MEdarkgrey",0.393199984363466,0.27082226881102,0.0182175116309496,0.076037583515274,0.0834667172992667,0.434092250367129,0.151619552154433,0.326929522998565,0.280122265481949,0.187440744132899,0.578978436160683,0.0392249319989572,0.392988023202328,0.844761449215216,0.0207773992868534
"MEdarkturquoise",0.268574019993685,0.722047782987653,0.731905271776684,0.378211637916273,0.214957349620904,0.837576217013362,0.489564291021034,0.849719089908965,0.660367437543337,0.191220659531554,0.488828322442055,0.0419367021122589,0.898962768876504,0.788634908207631,0.987765140830649
"MElightgreen",0.85359595634792,0.223404128183903,0.281766622554449,0.968102345166725,0.791075849990256,0.356157940647266,0.433819205870032,0.257054607029047,0.375084549757541,0.768840181622375,0.292273826282772,0.516896641824262,0.502787205895064,0.774225527055575,0.0987780021130871
"MElightyellow",0.325893111890964,0.903426325286367,0.346961916773444,0.0319893337646477,0.123870525063823,0.26998266283499,0.703171446687011,0.997372582700513,0.930623552468387,0.34408780242781,0.14862920101705,0.0513864126268696,0.368579816541195,0.176043420312724,0.158161112327269
"MEmagenta",0.707752078753094,0.114670083256121,0.799769281316107,0.188304350188668,0.251296810722688,0.081592613239113,0.569474549766624,0.109902455407744,0.337971434274943,0.801599874163329,0.413291921230571,0.046146907831022,0.472196328683762,0.536350087837594,0.000561303427487629
"MEgrey",0.376574182656914,0.361867455612975,0.478834321257261,0.28764849283789,0.0831418511301681,0.867188592639335,0.036506825056707,0.98648818285402,0.128230912663694,0.613411602479296,0.832210086154051,0.767319715516585,0.961084406425201,0.876127092183093,0.721972768067173
