"","Age","Ethnicity","Flare","Severity","SLEDAI","Years_of_disease","disease_status","Affected_Renal","BILAG_severity","Steroid","Quinie","MMF","MTX","Azathrioprine","other_IS"
"MEdarkred",0.305623775668902,0.721643525282999,0.365798918888237,0.640904221203904,0.34037864035248,0.103753646298908,0.860486667481345,0.443803794375626,0.904352137151208,0.84581254964773,0.559620637792605,0.633285090143358,0.102706692140553,0.915778051715508,0.256964002164635
"MEpink",0.152813292605729,0.0431852226966206,0.0931911823533157,0.610885817797653,0.52080290316265,0.0402942544699516,0.313298230545614,0.971533163629878,0.289657482026948,0.219282045846911,0.242983066345583,0.934586247836307,0.944318033836401,0.885352539798865,0.603946669896064
"MElightgreen",0.0592262481175194,0.962345166851011,0.0147261374466259,0.0675198983936403,0.0134491262363082,0.505656511094358,0.0361833893785697,0.71688725181329,0.374211978727985,0.91165954875853,0.265631677327391,0.541643210418669,0.297177101084653,0.854413121528657,0.170382923747987
"MEsteelblue",0.117679451266445,0.507157301853291,0.00123953349658977,0.125448714567098,0.0539635459534567,0.785220703774308,0.00357009923166033,0.818147949830371,0.122813871849742,0.0571090346851329,0.17442666923368,0.533765634082075,0.852757100620528,0.453319698823135,0.4152469134616
"MEwhite",0.355899584041754,0.236638484415061,0.218342321953744,0.797727902533064,0.943401940216456,0.312886651063686,0.907958737513496,0.745617669325717,0.0970667805706378,0.195026107211535,0.150244688394254,0.771783984516373,0.6720352556086,0.684804308221159,0.799316330455217
"MEyellow",0.695444916600537,0.356621397283136,0.0966299099770173,0.5465033958779,0.743076415515391,0.308052369187197,0.499831964355916,0.377845598600116,0.503179006525201,0.119088148457325,0.583623062814361,0.71947432084991,0.345258570650522,0.756437058729684,0.290686780133806
"MEdarkolivegreen",0.0945123475990117,0.317374963765092,0.0335186519081743,0.437443493924082,0.198706876801984,0.894812609683165,0.927693345167179,0.712476071855087,0.931173666630032,0.136038706554763,0.950286033860108,0.844683152331607,0.238378780946551,0.816431001089141,0.880822514379791
"MEsaddlebrown",0.234961564189274,0.834033986950256,0.216192298572491,0.535047414192745,0.286785296668432,0.562244571260676,0.933397860543389,0.626217905419639,0.951732082637206,0.238671625386326,0.981471747767918,0.82474924130686,0.709316995693827,0.864208096061411,0.393754009198885
"MEpaleturquoise",0.0262883163062537,0.638906473679306,0.230435983047658,0.323988022136092,0.297243157646008,0.167608930333304,0.273329337464928,0.769302881308227,0.307399786509609,0.481389894667284,0.259701946313788,0.366656673555666,0.325868419644879,0.273105410993875,0.472095603885429
"MEred",0.0855757673643928,0.575328021688817,0.693982190753231,0.392642461643408,0.159464312166035,0.364883754457382,0.796995269647718,0.868624806546186,0.274930986561749,0.772831683004902,0.615443454195436,0.338936435233785,0.0960510124560446,0.451974587385295,0.409203872535036
"MEdarkmagenta",0.265779995073179,0.258922544500406,0.989080960798416,0.817818187442324,0.534488244109566,0.523060592814504,0.230633994883377,0.757810211421018,0.443845397543998,0.977706039236122,0.353962387631521,0.171745989022659,0.666926030338487,0.510614431117274,0.575598928329852
"MEskyblue",0.247318494002939,0.0608454355523767,0.784691342712488,0.727478273271333,0.714666507972968,0.720776590827103,0.746227919516236,0.91916796051171,0.411000500551442,0.102198501625151,0.523508276020815,0.622140485672216,0.317916165566974,0.425189061847317,0.575202884057214
"MEskyblue3",0.0514223302062981,0.616201956115261,0.383024101701563,0.239160057350322,0.381607306342885,0.200597185145773,0.983033947723688,0.153257717717061,0.147320415045512,0.226202267969343,0.107859023894231,0.529224501536593,0.535437876531755,0.41187298420779,0.566173179038162
"MEtan",0.996685271962549,0.271454393808179,0.277413560897159,0.309890030437022,0.650456751269302,0.53610895757389,0.0900852838822113,0.57052293636825,0.0116620005200232,0.553393051363577,0.344669406599144,0.593872972351649,0.710631035897452,0.653840265256512,0.800853010152824
"MEgreenyellow",0.371155430226327,0.387748388120351,0.284244601325736,0.103482660664171,0.0255748628007974,0.00294301493603632,0.611126974322058,0.550311956551088,0.00152789452937536,0.254284502792646,0.512565028432343,0.591425368415309,0.637672017806972,0.761566365646451,0.982864085283724
"MEyellowgreen",0.708237008046478,0.774522508436192,0.799686217630452,0.285555398124583,0.0826782368433101,0.138020622980552,0.613208483498562,0.691051130520782,0.0320284139072135,0.619968935565439,0.336731746398105,0.504604562201112,0.529648599284308,0.909743928900522,0.823198027781215
"MEbrown",0.222440559182378,0.276080301001366,0.334396921851613,0.0953409174807341,0.0235978683062585,0.0333373731081128,0.619996297380959,0.112240976039827,0.054341477139251,0.506241205550178,0.594859828932093,0.0551797690896404,0.715427255790513,0.695557668118407,0.962937202401392
"MEdarkgreen",0.985539400464616,0.0633776984103935,0.945622500766039,0.45636712177031,0.113035107569143,0.0681970521519107,0.606469463125365,0.506207452236251,0.0589574673389872,0.614862201957443,0.256787280338315,0.245998261192059,0.425154741622755,0.699778437917578,0.788137787378046
