"","Age","Ethnicity","Flare","Severity","SLEDAI","Years_of_disease","disease_status","Affected_Renal","BILAG_severity","Steroid","Quinie","MMF","MTX","Azathrioprine","other_IS"
"MEdarkred",-0.193484274676779,-0.0678525712432876,0.171164623873038,0.0887621888430167,0.180298358733096,0.302879387413284,-0.0335029014375104,-0.145240367087186,0.0229097318116314,0.0370669952548507,0.110897503768149,-0.0907849773793627,-0.303756752414475,0.0201626512287294,0.213642779425713
"MEpink",-0.267602390594483,0.371601301625105,0.312057136893935,0.0967896015190841,0.121976346516336,-0.376502750651219,0.1904958368318,-0.00680430950009005,-0.199856249746587,0.231049078622683,0.219888869193492,-0.0156490328297075,-0.0133169863331824,0.0274879657606583,-0.0986682577131905
"MElightgreen",-0.348353200509351,0.00900183272287385,0.440954479800109,0.338238689931703,0.446221391010213,-0.126406613070836,0.38398262716821,-0.0690607897671339,-0.168225087066999,-0.0211523598202704,0.209881901271551,-0.115981659193773,-0.196828322336157,0.0349766516617753,0.256997045764615
"MEsteelblue",-0.291795382027633,0.125964738643802,0.561659383226108,0.286030185574021,0.355362701437933,-0.0519284441885267,0.515255849854338,0.043820749478491,0.287955045611775,0.351111847374956,0.254667306833233,-0.118234426595764,0.0353788261398762,-0.142257074824931,0.154408151108731
"MEwhite",-0.174675036084725,-0.222802109911959,-0.23150799002125,0.0488390573597355,-0.0135364261902739,-0.190654939867814,0.0220421530470323,-0.0618006548178752,-0.308602520076966,-0.243354327215642,0.269224982765728,-0.0552619138769579,-0.0805925045423786,0.0772826354255797,-0.0484475858644677
"MEyellow",-0.0745413379096974,0.174417127995946,0.308986659044871,0.114599499340063,0.062439263351322,-0.192533558120951,0.128127746319816,0.166967464990563,0.127137490135414,0.290729583204069,0.104224405911102,0.0684032825213536,0.178514007548677,-0.0590890343553417,-0.199438857324438
"MEdarkolivegreen",-0.310867463497364,0.18892687465907,0.389205365011768,0.147253629437909,0.241421725767488,0.0252067042311013,-0.0173021128995829,0.0701837034012864,0.0164673036885301,0.278580838423982,0.0118878151617241,0.0373418002981005,-0.221997887466997,-0.0442415454434582,-0.0285816652491493
"MEsaddlebrown",-0.22358079241948,0.0399366476897237,0.232563017946704,0.117866801920594,0.201025972891382,-0.110161788983794,0.0159339534290823,0.0926699718928672,0.011541624312343,0.22186294432082,0.00442821894473345,-0.0422047440501094,-0.0709893016046118,-0.0326008344038927,-0.161542405878018
"MEpaleturquoise",-0.405299846848547,0.0892916381294303,0.225701008125867,0.18640811147743,0.19680193958827,-0.258617969576104,0.206608338924278,-0.055879168710353,-0.192788560981172,0.133645141318993,0.21244595052089,-0.170863115146617,-0.185697709217674,0.206702718229931,-0.136466819238766
"MEred",-0.319176375320717,-0.106516402048395,0.0749172948017491,0.161917315744947,0.263490072425733,-0.171486772898318,-0.0490196819773896,-0.0315311261002841,-0.205934736505882,-0.0550014300817387,-0.0955605703510437,-0.18082866196555,-0.309497709573916,0.142676724888062,-0.156392554433782
"MEdarkmagenta",0.209818248535173,-0.212785802956179,-0.00260948598735362,-0.0439015530878323,-0.118027124600469,0.121321414864377,-0.225607658738387,0.0587457066706008,-0.14522724978028,0.00532841928643354,-0.175368753310513,0.256207411255178,-0.0819233132898012,-0.124949325626019,-0.106441316908486
"MEskyblue",-0.21792714129915,-0.34629520415103,0.0520594809563058,0.0663739121322668,0.0696258174667551,-0.0680726013021836,0.0616473991547139,0.0193484158994511,0.155800874305557,0.304185049670865,0.121191709979234,-0.0937614512594831,-0.188719531045484,-0.15117810236269,0.106551090829402
"MEskyblue3",-0.358942062024536,-0.0953563980290627,0.165187252705525,0.221638119632722,0.165672908453609,-0.240438818636369,-0.00405480030940216,0.267323641661518,0.271096775639195,0.227709965308242,0.299501796440498,-0.11954026980873,-0.117754897702533,0.15551406469999,-0.109063183765475
"MEtan",0.000792148878642323,-0.207400129487239,-0.204895630140161,-0.191817284001399,-0.0862394539453129,-0.117562660571794,-0.314905177215916,-0.107850832736726,-0.454342443705965,0.112650004719595,-0.178728624302619,-0.101411963724153,-0.0706540618417786,0.0853493579466478,-0.0480690518990627
"MEgreenyellow",-0.169288519393928,-0.163575306708121,0.2020669410808,0.30310583756218,0.407076973397911,-0.524232486330759,0.0967244744498078,-0.113520425049413,-0.552994291372582,-0.214822188177795,-0.12437790448083,-0.102081619472584,-0.0896191254537368,0.0578074788580699,-0.00409540244207235
"MEyellowgreen",-0.0712649856844039,0.0545812539664446,0.0483564541963824,0.201529145227028,0.32201231304622,0.277234224969833,-0.0961627854936464,0.075671485832459,-0.392274123360235,-0.0943439465318121,-0.181641985402217,0.12671672507022,-0.119418089773883,0.0216128804756864,-0.042584221269337
"MEbrown",-0.22951633359479,0.205452930815204,0.182506853970191,0.310127772489118,0.412222539254714,-0.389572693332198,0.0943366017999191,0.296001166757272,-0.354841804209012,0.12623438538471,-0.101142301309187,0.353696511320994,-0.0694321939182549,0.0745123694176324,-0.00886020252204164
"MEdarkgreen",-0.00345594247473746,0.343161005758035,0.0130045447549098,0.141308783768874,0.295377714273062,0.337456513848355,-0.0979842054756225,0.126244325074305,-0.34869907860222,-0.0957171016503216,-0.213720315910234,0.218522099584367,-0.151189180054922,0.0734291241023832,-0.051206771413539
"MEdarkorange",-0.0265760212570535,0.239231338645055,0.180700453215776,0.077280210170974,0.138055483913095,-0.0857230707287576,0.0763445360298458,-0.122872255636587,0.290363990042929,0.161434231768353,-0.199129970094783,-0.162650699417845,-0.0862852879859036,0.0270668286661451,-0.0204978393521312
"MEgreen",-0.308082318202758,-0.202139101687614,0.138315722826391,0.315960681468909,0.331640843997453,-0.155468986677855,0.0486946696235584,0.192379075824301,-0.0189872600710298,0.0876028603823296,0.171226031664055,0.326732294572977,-0.242248371013534,-0.140373421130681,0.141126947790582
"MEmidnightblue",0.0455430473245112,-0.12113475206672,-0.0656417276838736,0.102254346159252,0.0646274527657854,0.182628431279322,-0.177202489656503,-0.0140598586597114,-0.0324519699575385,-0.169101861215647,-0.105981661848616,0.260982063650856,-0.311201950720108,-0.0752772489801091,0.0828408590580336
"MElightcyan",-0.297210488776026,0.134300530037819,0.000541245407338454,0.209875345210013,0.178961792436022,-0.254747923796628,0.142730920649163,0.132248523708021,-0.399134038279602,-0.0574445037378034,0.335512718619139,0.283415839893164,0.0646104446228992,0.274337954878508,0.14747502994374
"MEcyan",-0.292496907199829,-0.174765881721794,-0.208615929016806,0.305926757949155,0.135705341626133,-0.304575706502838,0.0801627125996444,0.313619728570265,-0.253705775284936,0.124108885278397,0.23788057779995,0.374216913411569,-0.0397709150543881,0.101625219340345,-0.0360393064324525
"MEsienna3",-0.00123925518590907,0.0132352571464127,-0.277062905936171,0.155154374510664,0.113957970689556,0.11245257233109,-0.107609151009532,0.131057482076473,-0.231946412799077,-0.122805853023642,0.0489567608165969,0.218899747007743,-0.0612304297480653,0.0331100675283535,-0.047594161802652
"MEblack",-0.122498572121557,0.229097123386394,-0.0633490420994062,-0.0308051943329149,0.027489298538941,-0.0371098181785257,-0.262907487631069,0.249304964153964,-0.0815079458072968,0.372147232054165,-0.105181852035055,-0.0266728117622962,0.0738200578725682,0.234319288645912,0.106976062187825
"MEsalmon",-0.182885144877665,0.194278515387077,-0.302971131701212,-0.230091300381688,-0.223094775194112,-0.153600825714369,-0.368763459649174,0.281628295975466,-0.401333918387449,0.173805248908533,0.115004653673879,0.0923083871528963,0.215242698306819,0.207815174068188,0.078022848057936
"MEdarkturquoise",-0.05618277226319,0.0155102710070829,-0.00676424670864682,-0.0833472473790946,0.0029070827278548,0.33361010028739,-0.176180836037645,-0.184647876573758,-0.354977902589999,-0.307492082887217,0.00247711488192471,-0.164367006529999,-0.161532647660017,0.115367774897289,0.00395887901636636
"MEturquoise",0.215018873341815,0.237050154684282,-0.250776302313274,-0.215624536896191,-0.102630189495331,0.386485706594992,-0.407561766221139,-0.113539762005846,-0.520520601881339,-0.220452717242108,-0.201296585833003,-0.103818150733009,-0.0989403283171413,0.0715653897306417,-0.0652808054579019
"MEblue",-0.0590696189592641,-0.139473410196282,-0.4903714774434,-0.125068262916399,-0.101895415321842,-0.0769052857829702,-0.498326103316974,0.0225058102555264,-0.433239172780813,-0.219920555120926,-0.164752844884627,-0.000885087559682301,-0.272831996111416,0.207100975826378,-0.213093047712269
"MElightyellow",-0.131201118657536,0.0165344097248998,-0.0279503345092947,0.0924085975278977,0.228873798570129,0.128295170992509,-0.226826769829403,0.0910455021305715,-0.0422424054045087,0.0614027344670046,-0.0999184203863418,0.195772002418935,-0.0587917977311089,0.0466320181371737,0.0954189658890471
"MEorangered4",-0.117667967527965,-0.0881961899697878,-0.188477155222053,-0.172958682369922,-0.197210241451346,-0.105636612434222,0.0756189704501476,-0.0895296669412007,0.0339172181358693,-0.0998342948639635,0.232778907250888,-0.102302900056317,-0.0789014641198859,0.175199695360478,-0.138097457454643
"MEgrey60",-0.201235389507695,0.218702088146419,0.0384128202307622,-0.223572102840674,-0.279376714509831,-0.119937596573956,-0.211278058918015,0.0496448261606777,-0.315317422752978,0.363317474479683,-0.123846283697406,-0.225406184265854,-0.165575681104888,0.523564173065017,0.0229308246599984
"MEorange",-0.247319035372167,0.19626111313539,-0.200407895599545,-0.19255744672022,-0.29708964699471,-0.249006043242759,-0.277206152878107,-0.125576855232276,-0.309562925285647,0.0856378038172511,0.209398068235753,-0.123093619667328,-0.0610906275230184,0.968364158572411,-0.0343254548903079
"MEviolet",0.245860547186408,0.0767329605548321,0.234684013238254,-0.0287811402120564,0.0747902894768951,0.311401498946379,-0.166527589151313,-0.0346392024533435,0.0108878989913368,0.0349594965226621,-0.132731604169418,0.198037547844231,0.247495860519586,0.0531559221395207,0.154251937841186
