,Zsummary.qual,Z.propVarExplained.qual,Z.meanSignAwareKME.qual,Z.meanSignAwareCorDat.qual,Z.meanAdj.qual,Z.meanMAR.qual,Zsummary.pres,Zdensity.pres,Zconnectivity.pres,Z.propVarExplained.pres,Z.meanSignAwareKME.pres,Z.meanSignAwareCorDat.pres,Z.meanAdj.pres,Z.meanMAR.pres,Z.cor.kIM,Z.cor.kME,Z.cor.kMEall,Z.cor.cor,Z.cor.MAR
black,76.9100885413326,51.1692559928231,49.2078705865564,102.650921089842,120.531826952623,13.3932159843226,28.0664233244101,31.5040194412928,24.6288272075275,16.4503296658804,18.0064623956615,45.0015764869241,53.7505634806859,15.2735717222578,16.1672086519239,24.6288272075275,68.1295341128437,43.4019508651753,18.9887653684711
blue,88.4682482367654,59.4304638347923,55.8529600491141,126.649932539233,117.506032638738,11.1408079425456,25.9802317494969,27.1463021864563,24.8141613125376,20.4029637825914,21.1976697186517,39.6093761964502,33.0949346542608,7.50716688409914,13.2189102960897,24.8141613125376,101.193202257471,31.2997734477596,19.7642288718278
brown,109.491051189241,65.9951015419751,58.9275693034324,152.987000836506,156.811743845031,10.3732879664966,-0.700882130414486,-1.38616813876347,-0.015596122065507,-3.18617168783281,0.413835410305882,0.572761706204192,-3.22707733977722,2.02870796558149,-0.015596122065507,-0.722909690169978,17.0276515894047,3.91968002403175,16.7527915743531
cyan,90.0363063443786,55.1383154812753,46.3649859604457,124.934297207482,157.651761934942,10.889885149358,-0.829181047685382,-3.90433362108203,2.24597152571127,-6.62868462883839,-3.96761755922261,-2.12946133838222,-3.84104968294145,0.940748308221908,2.24597152571127,3.4775314453207,1.1475247009574,1.9808039291508,7.83257915187267
darkgreen,67.6283343615074,44.40919365012,39.1092992848437,90.8474750728948,110.474721059955,9.85485187598691,0.999678763425132,1.09194057121219,0.907416955638075,-0.259375452616137,2.44325659504051,2.94143631916532,-0.809039993204783,3.9980568019645,1.5657043900614,-0.197671195112909,38.7497994984503,0.907416955638075,10.186543421039
darkgrey,68.3673401964361,45.3047723025898,38.7394673715669,91.4299080902824,141.556041381474,14.7903617026553,15.7123900041791,16.6855072510062,14.7392727573521,10.9686692035537,10.5658825776244,22.4023452984587,45.7371869574873,19.145220390208,9.29622450303,14.7392727573521,96.216634493089,22.2595656690408,11.8993801285812
darkmagenta,51.2294748889684,37.8071832773833,32.877826212438,64.6517665005534,97.9124455936648,22.3447112232825,7.43498428968671,5.0533743453763,9.81659423399711,2.9579628651743,3.28890145201588,6.81784723873672,18.8279369032442,19.7923190701462,9.81659423399711,7.80903729586507,60.3973139950801,10.014730629985,9.43942558388702
darkolivegreen,57.5189684325662,40.4797830078913,32.1733546346258,74.5581538572412,111.51462293142,15.1758156660247,11.529381657251,10.6040989768811,12.4546643376209,6.88456323878842,8.97149873483006,18.7792994020109,12.2366992189321,11.3138749661854,4.03653033946469,12.4546643376209,82.8187233401977,18.2340719590118,6.37258697971979
darkorange,68.2472973410591,45.9260024575405,35.7889177731225,90.5685922245777,180.465468713828,20.6968628487532,1.16474810652872,0.569040732747271,1.76045548031017,-2.37234388280387,0.615669496537886,0.522411968956656,6.47999251215843,16.8330542816302,8.09300715517995,-1.30485799097828,67.3040032548787,1.76045548031017,9.60642842382497
darkred,56.7042947321521,40.300545975105,33.7205233647723,73.1080434891992,115.782201048145,20.083832435853,8.79298081919373,6.33492545986301,11.2510361785245,-0.13189252737706,4.57332162895609,8.09652929076992,15.0283152283038,15.2541069780311,15.3507139607295,8.36768066718156,48.5300423167465,11.2510361785245,15.9544228517289
darkturquoise,67.5853528671557,40.0576783117799,37.4532274992285,95.1130274225316,97.8517657046534,10.6527031160913,2.71724985600228,3.87185398826483,1.56264572373973,3.15015477763242,3.75595105175277,4.97768169265284,3.98775692477689,6.5935771975689,1.56264572373973,0.185316360049788,41.823536588804,2.88445192351543,11.0054746066259
gold,0.545798385892202,0.614080969753529,0.374877053703668,0.885206962741121,0.477515802030875,0.397800849185932,7.33974031293583,1.19307070344624,13.4864099224254,-0.624369890561802,3.01051129745429,23.8030733889271,-0.943801867086091,-0.353498742931609,7.91586932495253,13.4864099224254,59.1586932119885,37.1039641839717,15.6003328963545
