"","Disease","IFN","Gender","Age","Ethnicity","Flare","Severity","SLEDAI","Years_of_disease","disease_status","Steroids","Affected_Renal","BILAG_severity","SLEDAI_class"
"MEblue2",0.180660065821615,0.0203894804175892,0.869586520308701,0.129409485687089,0.713448056168915,0.00587464122234883,0.0451760909828268,0.0247428610169467,0.530460916972705,0.152798341974166,0.94502640600523,0.522355789998697,0.399513730431368,0.0444946253311906
"MEcyan",0.336711510636074,0.125934527361299,0.966540791304105,0.00501908390726826,0.116086926226628,0.0895429711316379,0.713801717894893,0.908496238814135,0.0770337475259882,0.388365965003026,0.153510686644349,0.722606295833573,5.12582094244855e-15,0.580993831828006
"MEindianred4",0.0132646023254051,0.728864360241879,0.764068390715291,0.0139760377529687,0.550057521737068,0.148814482345842,0.120719174599567,0.896755009299725,0.000735051525560904,0.285364975199831,0.0287568195300985,0.389597283986573,0.0593706123863606,0.850200892536591
"MEhoneydew1",0.124273049737677,0.0825439003419378,0.219084320795587,0.751949115723928,0.13921010094483,0.00929252757893015,0.150597402788221,0.559913182263605,0.313605348740482,0.0109347760069785,0.00800742393407352,0.0252604209930544,0.121781704574656,0.985871100723328
"MEdarkslateblue",0.622199453595196,0.0230155178652304,0.130606713859257,0.18501983887586,0.11820909504501,0.00650051906156784,0.629426388597009,0.444686188384287,0.141329230466786,0.042369424426942,0.0906369764166448,0.300519406619256,0.686299834839223,0.565472330803718
"MEthistle1",0.0853513216012853,0.170974075108522,0.165145747604504,0.29644870780478,0.174916041320648,2.21398492863788e-05,0.0895137305619046,0.217926924504785,0.0171181917570851,0.0550821564477669,0.0128372795893956,0.964189895161275,0.0927892719552371,0.442079689308238
"MEdarkviolet",0.906399074527144,0.376858548607264,0.991112092454109,0.263744690788408,0.552599391839572,0.0578198523796657,0.461483883140107,0.472926464462185,0.550231457734093,0.83296102707938,0.588975168725957,0.96569730038761,0.00628894717096302,0.368061082691124
"MEorange",0.794244229239256,0.472552046246158,0.939213585318448,0.0271480789236972,0.988260221570656,0.306824738426575,0.873855943482269,0.839343184168626,0.386545775114992,0.327606847661113,0.767398549535752,0.463231743020945,0.932116467151189,0.995326699066009
"MEsteelblue",0.0760847871454904,0.18128522528389,0.0824161875004054,0.285626363684347,0.593125929087985,0.231045026468805,0.0177224938482661,0.0345575201058271,0.281971649369809,0.249605329901828,0.4151950530883,0.612460973581926,0.450349071759713,0.0333680498884022
"MEorangered3",0.449519798617849,0.0139358154370036,0.728172386157751,0.605570170370684,0.0389752623409876,0.69530322708632,0.983480102016126,0.521003253498998,0.0497345087650322,0.516621961504556,0.0824614822746513,0.319635094789019,0.229095249596006,0.77414179026402
"MEfirebrick4",0.239787533092788,0.0378394698362205,0.00128585740850845,0.0856286434385973,0.0331183387771671,0.709084025941058,0.130965733049794,0.418927806851536,0.0306566849289591,0.266673297502325,0.054121676408213,0.308822079344048,0.106706525817453,0.685921247515441
"MEsalmon",0.609425821310835,0.204203694604373,0.782629319116519,0.0559200230914596,0.275579201897318,0.224624591515182,0.97419679373099,0.318649682524268,0.0300591035322111,0.0217243822007345,0.441621402352304,0.377088270682624,0.165719312785821,0.351157007015177
"MEbisque4",0.378099559600252,0.709330545359403,0.621617639783151,0.0451241637566638,0.185354527396396,0.547505531303485,0.106711480684511,0.0288801053867559,0.00522740348889161,0.00444587167852925,0.517066102724578,0.812563566560568,0.000539991333428452,0.0384900201210171
"MEdarkseagreen4",0.563887633493675,0.949690058070623,0.657164234934219,0.862761357271398,0.966271599224286,0.111334786586012,0.905431968174215,0.195451032034637,0.00396944738763625,0.0103619162688146,0.625628226894163,0.118031818211589,0.762858132051775,0.263966298099327
"MEpaleturquoise",0.597747601834722,0.217894179657077,0.788375045572597,0.417996657261268,0.394250602488772,0.32027337628341,0.91029237682744,0.247758387598526,0.185424798078629,0.0442071082710342,0.198241766341187,0.474882136771561,0.000475266154821568,0.224798155490255
"MEfloralwhite",0.396335398913994,0.142579488513334,0.897844068480743,0.481933758234269,0.35145180202355,0.315254592007169,0.200658903761019,0.235899027459265,0.426048746553925,0.379648577536555,0.142990905012294,0.535679050351924,0.11449422354112,0.0325019582180819
"MEbrown4",0.751144847811276,0.469591389416764,0.67945311071752,0.793415299102319,0.679534754030065,0.546573730045232,0.637843514422275,0.0930998581847149,0.0878283996626063,0.378568909431414,0.0713018702748714,0.12756939365013,9.55938718349434e-12,0.00970497516884993
"MElightgreen",0.216825197611169,0.887760930148866,0.696123994674067,0.277158647703586,0.318921386906658,0.196073418051836,0.398871672118561,0.0281539034547223,0.0177177584437491,0.839814411590014,0.0114205330664303,0.00494642338049402,0.434683396403165,0.0114160126870702
"MElightsteelblue",0.15362063874093,0.915406914156839,0.916331356189873,0.538311262351727,0.674277555743095,0.374790349301675,0.314106249872624,0.13778391180651,0.776949312161366,0.442037876117924,0.209375436580389,0.759562623291709,0.00405145665192777,0.0765667112830585
"MEplum2",0.833343236124419,0.669093533169703,0.865880038026409,0.773666911988905,0.611328258788741,0.305063915311199,0.758456544167702,0.65807336946366,0.638684736851,0.0156545795328322,0.0772537437691979,0.148894172978057,0.352479386531595,0.886806588134407
"MEdarkgrey",0.0325181196859563,0.891957140004925,0.622770101549448,0.346768213576717,0.240156338589076,0.31173392581215,0.0252364595173514,0.267836538662519,0.0106060181081722,0.739521441250416,0.120901848881358,0.74940207875794,0.123462694577683,0.368309778820982
