"","Disease","IFN","Gender","Age","Ethnicity","Flare","Severity","SLEDAI","Years_of_disease","disease_status","Steroids","Affected_Renal","BILAG_severity","SLEDAI_class"
"MEblue2",0.208650136713936,0.0163461735050595,0.17033691074353,0.260805389999491,0.723506614996184,0.00580932892866594,0.074666966956629,0.0127744777442916,0.780909921879197,0.270579262557418,0.659108811883452,0.355622921975085,0.56931197810943,0.00278926328745193
"MEcyan",0.482591970284171,0.102676120350322,0.276362428292241,0.911262961891794,0.170471451736431,0.125137383598107,0.334283664785351,0.390369921050404,0.549932521715894,0.75587470221249,0.298570123941673,0.191742917696337,1.35376360429477e-09,0.190374253894661
"MEindianred4",0.0112586284229917,0.478368915630368,0.499769367749735,0.0336069072226053,0.522949830415038,0.169701376300843,0.0244922908341598,0.531113984671048,0.000633014376492126,0.110220368578483,0.0306077095947184,0.133368565038575,0.776592108576367,0.694687176505306
"MEhoneydew1",0.356620502630116,0.0247648067924374,0.17033691074353,0.196568882509116,0.066807002494941,0.000317773890345977,0.198033996581103,0.269639472175742,0.132024344512373,0.0212353732512609,0.0119037893486846,0.0197947772076059,0.015636986345558,0.539820436582249
"MEdarkslateblue",0.914436507653087,0.0168798774763466,0.17033691074353,0.986882910992114,0.433900152175227,0.00580932892866594,0.918168515643503,0.356486373093325,0.063533507354614,0.0521015045958601,0.460448715466055,0.461459277802573,0.391164721541366,0.43005081823565
"MEthistle1",0.0966568098127615,0.174541021342627,0.17033691074353,0.255188702771397,0.148119189253567,5.60051008563471e-07,0.037811085489748,0.0499256656638919,0.0159118516668935,0.0521015045958601,0.0677546729352913,1,0.146797290820281,0.180745267837032
"MEdarkviolet",0.957160664899976,0.255638098201139,1,0.457761372921664,0.477364911712301,0.0624824559786912,0.546304242560805,0.597076514858013,0.577038322774845,0.876564580243979,0.883317724259952,0.854741355401104,0.00555230667355689,0.457699918597862
"MEorange",0.829789406271912,0.374810602263983,0.788089311051203,0.0219936258388323,0.887597624640377,0.289572405653709,0.956717126616622,0.909085021167625,0.423914086497058,0.346748617264117,0.659108811883452,0.58172278254623,0.56931197810943,0.992729528627109
"MEsteelblue",0.0657830000813239,0.239854526544318,0.17033691074353,0.303229349366642,0.723506614996184,0.365610641570272,0.0240571616229493,0.0975869748441009,0.447772131107642,0.270579262557418,0.460448715466055,0.58172278254623,0.776592108576367,0.0552956624840794
"MEorangered3",0.416990378877999,0.00160421848893085,0.788089311051203,0.676457389000003,0.222015129031386,0.548446744150865,0.576693732057734,0.441806049183661,0.242462686099919,0.75587470221249,0.883317724259952,0.58172278254623,0.015636986345558,0.15960300525581
