"","Disease","IFN","Gender","Age","Ethnicity","Flare","Severity","SLEDAI","Years_of_disease","disease_status","Steroids","Affected_Renal","BILAG_severity","SLEDAI_class"
"MEblue2",0.260423717853257,0.47528510138843,0.283069258536149,0.233731384290541,-0.0744694335918124,0.535449670096405,0.362814850005641,0.490606162172259,0.0585779186129006,0.229128784747792,-0.0927884361197613,0.192879187452615,-0.119522860933439,0.572399927066132
"MEcyan",0.147196014438797,0.334050510536571,0.226455406828919,0.0234886564114052,0.282983847648887,0.314970394174356,0.201427613798177,0.179580368795129,0.125524111313358,-0.0654653670707977,0.21650635094611,0.270030862433661,-0.896421457000795,0.270833522538002
"MEindianred4",0.498201895023622,0.148603352113695,0.141534629268074,0.426261354875829,0.134044980465262,0.28347335475692,0.448615659128596,0.131445424582001,0.63598883065435,0.327326835353989,0.433012701892219,0.308606699924184,0.0597614304667197,0.0825946203484687
"MEhoneydew1",0.192487095804581,0.447856934469373,0.283069258536149,-0.267231599172381,0.372347167959062,0.661437827766148,0.2663910835627,0.229566657016453,-0.309626141239618,0.458257569495584,0.494871659305393,0.462910049886276,-0.478091443733757,0.12869394333366
"MEdarkslateblue",-0.0226455406828919,0.473238223260142,0.283069258536149,0.0034655394705352,0.163832753901987,0.535449670096405,0.0216544899215078,0.192539776852509,-0.376572333940075,0.392792202424786,0.154647393532935,0.154303349962092,0.179284291400159,0.165189240696937
"MEthistle1",0.339683110243379,0.28042230357543,0.283069258536149,-0.236426803878735,0.29787773436725,0.818923024853326,0.417563937731717,0.396187617754202,-0.476991622990762,0.392792202424786,0.371153744479045,0,-0.298807152333598,0.276595937911151
"MEdarkviolet",-0.011322770341446,-0.236209736004413,0,0.155564216232913,-0.148938867183625,0.377964473009227,-0.126658337276744,-0.111080640491832,0.117155837225801,-0.0327326835353989,0.0309294787065871,0.038575837490523,-0.537852874200477,-0.155585215075022
"MEorange",0.0452910813657838,0.185447158422876,-0.0566138517072298,0.455910970345964,-0.029787773436725,0.220479275922049,0.0114401078830607,0.0240674721065636,0.167365481751145,0.196396101212393,0.0927884361197613,0.115727512471569,-0.119522860933439,-0.00192080512438299
"MEsteelblue",-0.373651421267717,-0.243987872891907,-0.283069258536149,0.214478387232012,-0.0744694335918124,-0.188982236504614,-0.44984138497321,-0.338795953500088,0.158997207663587,-0.229128784747792,-0.154647393532935,-0.115727512471569,-0.0597614304667197,-0.388002635125364
"MEorangered3",-0.169841555121689,0.597688413460041,-0.0566138517072298,-0.0877936665868917,0.253196074212162,0.125988157669742,-0.117261105801373,0.161066928713157,-0.24267994853916,-0.0654653670707977,-0.0309294787065871,-0.115727512471569,-0.478091443733757,0.290041573781832
